Date;FOB_Rus;FOB_Ukr;FOB_AusP;FOB_AusS;FOB_Bal;FOB_CVB;FOB_Pol;FOB_Ger;FOB_Fra;FOB_Arg;FOB_USGulf;Africa;FOB_USPNW;BCI
04.01.2022;337;328;355;330;323,75;329,5;327;326,5;315,75;293,5;350,75;317,75;440,75;100,07
05.01.2022;338;329;355;330;329;337,5;329;329,5;321,5;293;344,75;317,25;442;100,87
06.01.2022;338;329;353;327;325,25;330,25;325;325,25;316,75;293;337,5;317,25;433,5;100,58
07.01.2022;;;353;327;321,25;326,25;320,75;321;312,75;293;339,5;319;436,25;101,12
10.01.2022;338;327,5;349;326;324,25;330,5;325,25;324;316,25;290;335,5;316;439,25;101,255
11.01.2022;336;327;349;325;327,5;327,5;328,75;327;319,75;289;340,25;315;438,25;101,935
12.01.2022;334,5;325,5;349;325;327,75;325,75;328,75;327;319,75;289;341;315;438,5;103,645
13.01.2022;334,5;325,5;349;325;322;322,5;323,25;322;316,25;288;334;314;432,25;103,55
14.01.2022;334;326;349;321;317;317,5;318;317;311,25;286;329,75;312,75;430,5;103,175
18.01.2022;333,5;318;345;318;318,5;321,25;318,75;318,5;310,25;288;338,25;314,75;434,75;104,1
19.01.2022;332,5;319;345;321;321,75;323;322,25;321,75;313,25;287;343;313,75;442,5;105,055
20.01.2022;333;320,5;347;323;325,5;324,5;325,75;325,5;318,75;289;346,75;315,75;447;105,53
21.01.2022;333;320,5;349;320;323,5;321,25;323,75;324,5;316,75;290;348,25;316,25;444,5;105,195
24.01.2022;333;320,5;349;320;326,5;322;326,75;327,75;319,25;290;351,25;316,25;454,25;104,58
25.01.2022;333;321,5;349;320;339,5;323,5;343;340,5;329,25;289;360,75;315,25;465,5;105,07
26.01.2022;333;322,5;349;320;335,75;323,25;339,25;336,75;324;293;355;319,25;462;105,99
27.01.2022;329;322,5;349;320;322,5;319,25;326,25;323,75;311;294;350,5;320,25;455,75;106,24
28.01.2022;329;322,5;349;320;323,75;324,75;326,25;324,75;312,25;294;351,5;318,75;459;107,13
31.01.2022;328;322,5;350;321;325;325;327,5;326;313,5;295;352,75;319,75;458,5;107,85
01.02.2022;325;317;352;323;320,25;320,25;322,75;321,25;309;295;346,75;319,75;452,25;108,255
02.02.2022;323;314;352;323;318;315,75;320,75;319,25;312,5;294;348,75;318,75;453,75;109,82
03.02.2022;321;311;352;322;312;310,5;314,5;313;308;293;340,75;317,75;444,25;109,065
04.02.2022;315;310;351;321;314,5;311,25;317;318;308,75;293;344,5;316,75;446,25;109,925
07.02.2022;315;309;351;318;320,25;316,25;323;323,75;314,5;296;349;319,75;451,25;109,45
08.02.2022;315;308;351;318;316;313,75;318,5;319,5;311,5;294;352,5;317,75;455,5;108,97
09.02.2022;315;307,5;351;316;316,75;312,75;319;319;307;294;357;317,75;456,25;109,19
10.02.2022;312;304,5;351;316;322;314,5;324,25;325,5;311,75;294;354,5;317,75;454,25;110,095
11.02.2022;313;304,5;351;316;320,75;311,5;323;324,25;307,5;291;355,75;314,75;457,25;109,51
14.02.2022;313;305;351;316;321,75;312,5;324;325,25;308,5;292;358;315,75;457,5;110,505
15.02.2022;313;305;353;319;320,25;311;322,5;323,5;308,25;292;352,75;315,75;453,25;110,26
16.02.2022;316;307;352;319;321;309,5;323,25;322,75;307,25;299;351,25;322,75;457,5;110,88
17.02.2022;314;307;351;318;323,25;314;323,25;324,75;311,25;297;354,75;320,75;461,5;111,465
18.02.2022;314;307;351;318;326;317;324;329;311,5;296;361,5;321,5;466,25;111,48
22.02.2022;309;307;352;319;337,75;315;336;339,75;321,75;296;376,25;321,5;481;113,535
23.02.2022;315;308;352;319;345,25;317,5;333;347,25;329;296;387,75;321,5;495,5;113,865
24.02.2022;315;308;362;335;378,5;352;366,25;380,5;362,5;305;407;330,5;516,25;117,44
25.02.2022;335;328;369;342;358,5;336;346;356,25;338,25;318;379,75;344;489;114,08
28.02.2022;340;334;369;346;380,75;376,25;368,25;378,5;361,5;318;397,5;344;503,5;114,96
01.03.2022;365;360;372;349;405,25;398,5;396,25;404;402,5;320;421,75;346;538;117,485
02.03.2022;375;370;396;370;431,75;415;430,5;430,5;436,75;320;449,5;346;565,5;121,53
03.03.2022;400;390;411;385;427,75;421,25;426,75;425,5;409;370;451,25;396;569,25;124,265
04.03.2022;430;405;430;450;459,5;454;459,5;460,75;443,25;380;507,25;410;624,25;125,265
07.03.2022;;;440;415;476,5;464,5;477,5;478,25;465,75;380;510,75;410;659,25;130,965
08.03.2022;;;440;415;470;446;471;471,5;471,5;405;489,5;435;656,5;135,665
09.03.2022;425;400;437;410;460,5;436,25;461,5;462,25;462,25;407;459;437;625,25;129,85
10.03.2022;430;412;437;410;465,75;441,5;467;465,25;469,25;402;452,75;432;593;126,6
11.03.2022;425;412;412;387;442,5;442,5;443,5;443,5;443,75;402;460;433,75;592,75;125,475
14.03.2022;425;412;412;387;443,25;432,25;444,5;444,5;444,5;395;455,25;426,75;588,25;124,43
15.03.2022;418;410;417;390;454,75;420,5;455,75;455,75;442,5;393;474,25;424,75;605,75;121,425
16.03.2022;420;410;417;402;455,75;420,5;456,75;456,75;437;393;443,75;424,75;573;121,695
17.03.2022;420;410;418;402;442,5;419,25;443,75;444,75;431,5;390;458,5;421,75;582,5;122,915
18.03.2022;420;410;416;386;439,75;416,5;440,75;442;428,75;377;455;408,5;572,25;124,175
21.03.2022;420;410;416;386;444;416,75;445;447,25;423;374;472,25;405,5;599;125,665
22.03.2022;412;407;416;386;460,5;411,75;461,5;463,75;439,5;374;468,5;405,5;591,25;125,615
23.03.2022;412;407;414;384;461;431,25;453,25;464,25;440;369;470;400,5;586,75;127,155
24.03.2022;412;407;416;390;451,5;436,25;444;454,75;430,75;369;465,75;400,5;581,5;128,94
25.03.2022;412;407;416;390;456,5;421,75;448,75;459,75;435,5;369;472,25;400,25;585,5;128,725
28.03.2022;405;400;416;390;442,5;419,5;434,75;445,75;422,75;380;458,25;411,25;566;127,36
29.03.2022;390;380;416;390;427,5;401,75;419,5;430,75;404,5;372;442;403,25;549,25;123,975
30.03.2022;387;380;414;374;436,75;418,25;429;440;422,25;370;449;401,25;536,25;125,425
31.03.2022;385;380;407;372;442,5;401,25;434,75;445,75;428;370;449,75;401,25;536;125,34
01.04.2022;385;380;402;374;444;398,75;432;446,25;427,5;375;444,75;408;524,25;124,05
04.04.2022;383;377;395;374;440,25;400,5;428;442,25;423,75;375;444,25;408;524;125,125
05.04.2022;380;375;395;374;433;401;429,75;444;425,25;375;463;408;537;126,845
06.04.2022;380;375;400;376;425;396,5;417,25;435,75;406,5;373;464,5;406;536;125,815
07.04.2022;380;370;400;375;425,5;397,25;418;435,25;407;373;461,75;406;528,5;124,68
08.04.2022;380;370;400;375;420;389,75;419;421,25;413,5;373;468,25;407;533,5;125,635
11.04.2022;382;370;400;375;429,5;405,5;427,25;431,75;416,75;380;482,25;414;544,5;125,81
12.04.2022;382;370;400;375;446,75;411,75;445,75;449;434,75;380;494,75;414;558,5;128,23
13.04.2022;380;365;412;383;449,5;414,75;448,5;451,75;437,5;390;494,5;423,75;560,25;129,765
14.04.2022;385;365;412;383;462,5;408,5;461,5;464,75;450,5;410;498,25;428,5;562;131,485
19.04.2022;375;365;410;380;460,25;412,75;460,25;463,5;450,5;417;495,25;418;566,75;133,05
